time s; flowrate
0.5;0.0109323
1;0.0117625
1.5;0.0106985
2;0.00976311
2.5;0.00908496
3;0.00844188
3.5;0.00763511
4;0.00682833
4.5;0.00623202
5;0.00575264
5.5;0.00533171
6;0.00499263
6.5;0.00480556
7;0.00468863
7.5;0.00444309
8;0.00405725
8.5;0.00374155
9;0.00346094
9.5;0.00319201
10;0.00299324
10.5;0.00285293
11;0.00264247
11.5;0.0024437
12;0.00231509
12.5;0.00223324
13;0.00226832
13.5;0.00211632
14;0.00199939
14.5;0.00194093
15;0.00178893
15.5;0.00173047
16;0.00166031
16.5;0.00156678
17;0.00143816
17.5;0.00127447
18;0.00142647
18.5;0.00143816
19;0.00120431
19.5;0.00113416
20;0.00105231
20.5;0.000982157
21;0.000888619
21.5;0.00079508
22;0.000771695
22.5;0.000724926
23;0.000678156
23.5;0.000643079
24;0.000608002
24.5;0.000572925
25;0.000537848
25.5;0.000502771
26;0.000456002
26.5;0.000409232
27;0.000374155
27.5;0.000350771
28;0.000327386
28.5;0.000315693
29;0.000327386
29.5;0.000350771
30;0.000315693
30.5;0.000292309
31;0.000280616
31.5;0.000245539
32;0.000222155
32.5;0.000187078
33;9.35388e-05
33.5;8.18465e-05
34;9.35388e-05
34.5;2.33847e-05
35;0
35.5;0
36;7.01541e-05
36.5;0.000222155
37;0.000210462
37.5;0.000131539
