;h1;h2;p1;p2;DeltaP;mdot_s;QN_s;h3;h4;p3;p4;P_vessel;P_vessel_dim;mdot_p;QN_p;mu
0;226+/-5;717+/-5;(7.03+/-0.05)e+03;(2.22+/-0.05)e+03;(4.82+/-0.07)e+03;0.00831+/-0.00010;414+/-5;1176.0+/-2.0;1143.0+/-2.0;(1.5679+/-0.0027)e+05;(1.5239+/-0.0027)e+05;(4.4+/-0.4)e+03;0.956+/-0.004;0.00952+/-0.00010;474+/-5;0.873+/-0.014
1;248+/-5;694+/-5;(6.81+/-0.05)e+03;(2.43+/-0.05)e+03;(4.37+/-0.07)e+03;0.00794+/-0.00010;395+/-5;1187.0+/-2.0;1131.0+/-2.0;(1.5825+/-0.0027)e+05;(1.5079+/-0.0027)e+05;(7.5+/-0.4)e+03;0.925+/-0.004;0.00946+/-0.00010;471+/-5;0.839+/-0.014
2;282+/-5;659+/-5;(6.46+/-0.05)e+03;(2.77+/-0.05)e+03;(3.70+/-0.07)e+03;0.00732+/-0.00010;364+/-5;1211.0+/-2.0;1109.0+/-2.0;(1.6145+/-0.0027)e+05;(1.4785+/-0.0027)e+05;(1.36+/-0.04)e+04;0.863+/-0.004;0.00945+/-0.00010;470+/-5;0.774+/-0.013
3;318+/-5;624+/-5;(6.12+/-0.05)e+03;(3.12+/-0.05)e+03;(3.00+/-0.07)e+03;0.00661+/-0.00010;329+/-5;1233.0+/-2.0;1087.0+/-2.0;(1.6439+/-0.0027)e+05;(1.4492+/-0.0027)e+05;(1.95+/-0.04)e+04;0.804+/-0.004;0.00945+/-0.00010;471+/-5;0.699+/-0.013
4;330+/-5;613+/-5;(6.01+/-0.05)e+03;(3.24+/-0.05)e+03;(2.78+/-0.07)e+03;0.00636+/-0.00010;316+/-5;1248.0+/-2.0;1072.0+/-2.0;(1.6639+/-0.0027)e+05;(1.4292+/-0.0027)e+05;(2.35+/-0.04)e+04;0.764+/-0.004;0.00936+/-0.00010;466+/-5;0.679+/-0.013
5;360+/-5;582+/-5;(5.71+/-0.05)e+03;(3.53+/-0.05)e+03;(2.18+/-0.07)e+03;0.00564+/-0.00010;281+/-5;1267.0+/-2.0;1053.0+/-2.0;(1.6892+/-0.0027)e+05;(1.4039+/-0.0027)e+05;(2.85+/-0.04)e+04;0.713+/-0.004;0.00936+/-0.00010;466+/-5;0.602+/-0.013
6;391+/-5;551+/-5;(5.40+/-0.05)e+03;(3.83+/-0.05)e+03;(1.57+/-0.07)e+03;0.00479+/-0.00012;238+/-6;1296.0+/-2.0;1024.0+/-2.0;(1.7279+/-0.0027)e+05;(1.3652+/-0.0027)e+05;(3.63+/-0.04)e+04;0.635+/-0.004;0.00936+/-0.00010;466+/-5;0.511+/-0.014
7;413+/-5;529+/-5;(5.19+/-0.05)e+03;(4.05+/-0.05)e+03;(1.14+/-0.07)e+03;0.00407+/-0.00013;203+/-7;1334.0+/-2.0;988.0+/-2.0;(1.7785+/-0.0027)e+05;(1.3172+/-0.0027)e+05;(4.61+/-0.04)e+04;0.536+/-0.004;0.00929+/-0.00010;462+/-5;0.438+/-0.015
8;437+/-5;504+/-5;(4.94+/-0.05)e+03;(4.29+/-0.05)e+03;(6.6+/-0.7)e+02;0.00308+/-0.00017;154+/-8;1363.0+/-2.0;960.0+/-2.0;(1.8172+/-0.0027)e+05;(1.2799+/-0.0027)e+05;(5.37+/-0.04)e+04;0.459+/-0.004;0.00929+/-0.00010;462+/-5;0.332+/-0.019
9;459+/-5;484+/-5;(4.75+/-0.05)e+03;(4.50+/-0.05)e+03;(2.5+/-0.7)e+02;0.00186+/-0.00027;93+/-14;1410.0+/-2.0;913.0+/-2.0;(1.8798+/-0.0027)e+05;(1.2172+/-0.0027)e+05;(6.63+/-0.04)e+04;0.333+/-0.004;0.00935+/-0.00010;465+/-5;0.199+/-0.029
10;470+/-5;470+/-5;(4.61+/-0.05)e+03;(4.61+/-0.05)e+03;(0+/-7)e+01;0.0+/-0;0.0+/-0;1463.0+/-2.0;860.0+/-2.0;(1.9505+/-0.0027)e+05;(1.1466+/-0.0027)e+05;(8.04+/-0.04)e+04;0.191+/-0.004;0.00928+/-0.00010;462+/-5;0.0+/-0
