buit;temps;frames;ms_60;temps_s;p1;p2;p0;dif;temp
0;0;0;0;0;0;0;0;0;15.5
2.7;0.183333333333333;11;18.3333333333333;0;6.61;5;4.81;1.39;15.5
5;0.266666666666667;16;26.6666666666667;0;6.61;5.99;5.92;0.78;15.5
7.1;0.45;27;45;0;6.76;6.08;6.08;0.76;15.5
9.2;0.666666666666667;40;66.6666666666667;0;6.76;6.06;6.04;0.77;15.5
11.2;0.866666666666667;52;86.6666666666667;0;6.76;6.08;6.04;0.76;15.5
13.1;1.06666666666667;4;6.66666666666667;1;6.78;6.08;6.08;0.76;15.5
15;1.26666666666667;16;26.6666666666667;1;6.78;6.1;6.11;0.75;15.5
16.8;1.46666666666667;28;46.6666666666667;1;6.77;6.1;6.11;0.75;16
18.5;1.65;39;65;1;6.76;6.1;6.11;0.75;16
20.2;1.85;51;85;1;6.78;6.1;6.11;0.75;16
24.9;2.45;27;45;2;6.76;6.1;6.11;0.74;16
30.4;3.25;15;25;3;6.76;6.09;6.1;0.74;16.4
35.1;4.03333333333333;2;3.33333333333333;4;6.75;6.09;6.1;0.74;16.4
40.2;5.03333333333333;2;3.33333333333333;5;6.75;6.09;6.09;0.74;16.4
44.7;6.03333333333333;2;3.33333333333333;6;6.75;6.09;6.09;0.74;16.4
50.1;7.45;27;45;7;6.74;6.08;6.09;0.74;16.4
55.3;9.05;3;5;9;6.75;6.09;6.09;0.74;16.4
59.9;10.85;51;85;10;6.74;6.08;6.08;0.74;16.4
65.2;13.4333333333333;26;43.3333333333333;13;6.73;6.07;6.08;0.74;16.4
69.9;16.6333333333333;38;63.3333333333333;16;6.73;6.07;6.08;0.74;16.4
75;21.8;48;80;21;6.73;6.07;6.08;0.74;16.5
80;31.7833333333333;47;78.3333333333333;31;6.73;6.07;6.08;0.74;16.5
81;36.3833333333333;23;38.3333333333333;36;6.72;6.06;6.07;0.74;16.3
81.2;37.9666666666667;58;96.6666666666667;37;6.72;6.06;6.07;0.74;16.3
