Buit;temps;frames;ms;temps_s;p1;p2;p0;dif;temp
2;0.533333333333333;16;53.3333333333333;0;6.84;5.91;6.03;0.74;15.5
3;0.666666666666667;20;66.6666666666667;0;6.84;6.11;6.03;0.74;15.5
4;0.833333333333333;25;83.3333333333333;0;6.84;6.11;6.1;0.74;15.5
5;1;30;100;0;6.84;6.11;6.14;0.74;15.5
5.7;1.16666666666667;5;16.6666666666667;1;6.83;6.13;6.14;0.74;15.5
6.7;1.36666666666667;11;36.6666666666667;1;6.83;6.13;6.15;0.74;15.5
7.6;1.56666666666667;17;56.6666666666667;1;6.83;6.13;6.15;0.74;15.5
8.5;1.73333333333333;22;73.3333333333333;1;6.83;6.15;6.15;0.74;15.5
9.5;1.73333333333333;22;73.3333333333333;1;6.83;6.15;6.15;0.74;15.5
10.3;2.13333333333333;4;13.3333333333333;2;6.83;6.13;6.16;0.74;15.5
11.2;2.4;12;40;2;6.82;6.14;6.15;0.74;15.5
12;2.53333333333333;16;53.3333333333333;2;6.82;6.13;6.15;0.74;15.5
12.9;2.76666666666667;23;76.6666666666667;2;6.82;6.15;6.15;0.74;15.5
13.7;2.96666666666667;29;96.6666666666667;2;6.81;6.14;6.15;0.74;15.5
14.5;3.16666666666667;5;16.6666666666667;3;6.81;6.14;6.15;0.74;15.5
15.3;3.36666666666667;11;36.6666666666667;3;6.82;6.13;6.15;0.74;15.5
16.1;3.6;18;60;3;6.81;6.13;6.15;0.74;15.5
16.9;3.76666666666667;23;76.6666666666667;3;6.81;6.14;6.15;0.74;15.5
17.6;3.96666666666667;29;96.6666666666667;3;6.81;6.14;6.15;0.74;15.5
18.4;4.13333333333333;4;13.3333333333333;4;6.81;6.14;6.15;0.74;15.5
19.1;4.33333333333333;10;33.3333333333333;4;6.81;6.14;6.15;0.74;15.5
19.8;4.56666666666667;17;56.6666666666667;4;6.81;6.13;6.15;0.74;15.5
20.6;4.76666666666667;23;76.6666666666667;4;6.81;6.13;6.13;0.74;15.5
21.3;4.96666666666667;29;96.6666666666667;4;6.81;6.14;6.15;0.74;15.5
22;5.16666666666667;5;16.6666666666667;5;6.81;6.14;6.15;0.74;15.5
22.6;5.36666666666667;11;36.6666666666667;5;6.81;6.14;6.14;0.74;15.5
23.3;5.53333333333333;16;53.3333333333333;5;6.81;6.13;6.14;0.74;15.5
23.9;5.76666666666667;23;76.6666666666667;5;6.81;6.14;6.14;0.74;15.5
24.6;5.96666666666667;29;96.6666666666667;5;6.81;6.14;6.14;0.74;15.5
25.2;6.16666666666667;5;16.6666666666667;6;6.81;6.13;6.14;0.74;15.5
25.8;6.36666666666667;11;36.6666666666667;6;6.81;6.13;6.14;0.74;15.5
26.4;6.56666666666667;17;56.6666666666667;6;6.81;6.13;6.14;0.74;15.5
30.2;7.93333333333333;28;93.3333333333333;7;6.8;6.13;6.14;0.74;15.5
34.9;10.1;3;10;10;6.8;6.12;6.14;0.74;15.5
40.1;12.3666666666667;11;36.6666666666667;12;6.79;6.12;6.13;0.74;15.5
45.1;14.9666666666667;29;96.6666666666667;14;6.79;6.12;6.13;0.74;15.5
50;17.9666666666667;29;96.6666666666667;17;6.79;6.11;6.13;0.74;15.5
55.1;21.7333333333333;22;73.3333333333333;21;6.78;6.11;6.12;0.74;15.5
60.1;26.3;9;30;26;6.78;6.11;6.12;0.74;15.5
65;32.1;3;10;32;6.78;6.1;6.12;0.74;15.5
70;39.9;27;90;39;6.77;6.1;6.11;0.74;15.5
75;51.6666666666667;20;66.6666666666667;51;6.76;6.09;6.1;0.74;15.5
80;61.8666666666667;26;86.6666666666667;61;6.76;6.08;6.09;0.73;15.5
80.1;72.4666666666667;14;46.6666666666667;72;6.75;6.07;6.09;0.73;15.5
